"Date/Time","Optimal Electric Demand kWh (Student 013 > Electric Meter) [(kWh)]","Predicted Electric Demand kWh (Student 013 > Electric Meter) [(kWh)]"
"2016-02-12 16:00:00",126.1375,149.0461
"2016-02-13 00:00:00",75.4775,85.0595
"2016-02-13 08:00:00",73.48375,80.133925
"2016-02-13 16:00:00",68.31625,79.8385125
"2016-02-14 00:00:00",66.85125,76.2373375
"2016-02-14 08:00:00",70.40875,75.7953375
"2016-02-14 16:00:00",73.07,65.0483
"2016-02-15 00:00:00",75.215,74.4095625
"2016-02-15 08:00:00",113.865,118.2676625
"2016-02-15 16:00:00",125.64625,145.3761125
"2016-02-16 00:00:00",79.8975,87.2991
"2016-02-16 08:00:00",112.6875,131.350625
"2016-02-16 16:00:00",127.135,139.4637625
"2016-02-17 00:00:00",77.01,84.562325
"2016-02-17 08:00:00",114.38,131.3132875
"2016-02-17 16:00:00",128.0075,141.301625
"2016-02-18 00:00:00",76.815,82.6612375
"2016-02-18 08:00:00",116.6625,137.4299875
"2016-02-18 16:00:00",132.56375,154.9791
"2016-02-19 00:00:00",75.57375,86.3126875
"2016-02-19 08:00:00",112.5825,131.70765
"2016-02-19 16:00:00",127.76125,141.0846875
"2016-02-20 00:00:00",71.9625,77.294225
"2016-02-20 08:00:00",73.12625,80.2158375
"2016-02-20 16:00:00",74.9675,91.674125
"2016-02-21 00:00:00",73.97875,83.1897625
"2016-02-21 08:00:00",71.76375,69.644075
"2016-02-21 16:00:00",72.22,64.035725
"2016-02-22 00:00:00",74.3925,77.6623
"2016-02-22 08:00:00",118.2,135.069075
"2016-02-22 16:00:00",127.625,150.367025
"2016-02-23 00:00:00",81.15125,88.3104125
"2016-02-23 08:00:00",113.435,131.0531875
"2016-02-23 16:00:00",126.71625,147.2904125
"2016-02-24 00:00:00",80.14125,87.796575
"2016-02-24 08:00:00",113.505,130.7401
"2016-02-24 16:00:00",126.5825,146.72015
"2016-02-25 00:00:00",82.7375,87.687625
"2016-02-25 08:00:00",113.24625,130.3708375
"2016-02-25 16:00:00",126.33,141.9261875
"2016-02-26 00:00:00",80.81625,88.0520125
"2016-02-26 08:00:00",113.52125,127.28635
"2016-02-26 16:00:00",126.1525,142.9768375
"2016-02-27 00:00:00",79.335,83.8358875
"2016-02-27 08:00:00",75.92625,79.8252375
"2016-02-27 16:00:00",74.60125,84.413425
"2016-02-28 00:00:00",71.16875,79.7652625
"2016-02-28 08:00:00",71.5725,68.951575
"2016-02-28 16:00:00",71.87875,63.4414875
"2016-02-29 00:00:00",76.17875,79.0879
"2016-02-29 08:00:00",113.90125,120.8479125
"2016-02-29 16:00:00",127.54375,143.59085
"2016-03-01 00:00:00",82.39625,87.724525
"2016-03-01 08:00:00",113.4225,129.4090125
"2016-03-01 16:00:00",127.17875,147.588175
"2016-03-02 00:00:00",81.81,88.3477125
"2016-03-02 08:00:00",114.11,132.8836
"2016-03-02 16:00:00",129.05625,146.5295875
"2016-03-03 00:00:00",80.06,86.8385625
"2016-03-03 08:00:00",113.75625,129.984075
"2016-03-03 16:00:00",126.35875,147.767875
"2016-03-04 00:00:00",77.61,87.29495
"2016-03-04 08:00:00",114.90125,130.2566625
"2016-03-04 16:00:00",125.37875,150.41645
"2016-03-05 00:00:00",75.1775,85.0891125
"2016-03-05 08:00:00",76.81375,81.847575
"2016-03-05 16:00:00",74.86375,90.9909875
"2016-03-06 00:00:00",73.96875,80.6135375
"2016-03-06 08:00:00",74.015,69.0632125
"2016-03-06 16:00:00",75.0775,64.9440625
"2016-03-07 00:00:00",77.35,77.4833
"2016-03-07 08:00:00",114.56875,124.6213625
"2016-03-07 16:00:00",127.33875,153.106625
"2016-03-08 00:00:00",75.85625,87.928475
"2016-03-08 08:00:00",119.12375,135.423975
"2016-03-08 16:00:00",146.415,168.897025
"2016-03-09 00:00:00",84.0775,92.771175
"2016-03-09 08:00:00",120.725,134.2059875
"2016-03-09 16:00:00",135.1075,152.3654
"2016-03-10 00:00:00",75.5375,83.889275
"2016-03-10 08:00:00",112.65375,130.454825
"2016-03-10 16:00:00",128.74625,143.7744
"2016-03-11 00:00:00",81.7425,87.4121125
"2016-03-11 08:00:00",114.485,131.2189125
"2016-03-11 16:00:00",127.12625,152.3394125
"2016-03-12 00:00:00",76.1575,85.4806375
"2016-03-12 08:00:00",76.03,81.9897625
"2016-03-12 16:00:00",74.7375,94.3067875
"2016-03-13 00:00:00",73.69875,82.7555
"2016-03-13 09:00:00",73.73375,67.2679
"2016-03-13 17:00:00",74.57625,63.771275
"2016-03-14 01:00:00",77.59,75.2227375
"2016-03-14 09:00:00",113.9075,113.78055
"2016-03-14 17:00:00",124.79125,144.4743375
"2016-03-15 01:00:00",78.73125,87.5798125
"2016-03-15 09:00:00",115.09125,132.3686125
"2016-03-15 17:00:00",127.9625,152.7105
"2016-03-16 01:00:00",77.4,87.512225
"2016-03-16 09:00:00",116.39375,134.0768375
"2016-03-16 17:00:00",129.20625,154.1593375
"2016-03-17 01:00:00",75.03125,86.70825
"2016-03-17 09:00:00",114.31125,132.9483375
"2016-03-17 17:00:00",128.1475,158.146475
"2016-03-18 01:00:00",79.35875,91.31305
"2016-03-18 09:00:00",119.26125,134.4833
"2016-03-18 17:00:00",130.37625,156.0332625
"2016-03-19 01:00:00",77.56125,86.078725
"2016-03-19 09:00:00",76.47375,81.77995
"2016-03-19 17:00:00",76.23875,91.1007125
"2016-03-20 01:00:00",73.28625,79.0215125
"2016-03-20 09:00:00",72.17,68.6614375
"2016-03-20 17:00:00",75.1375,64.979225
"2016-03-21 01:00:00",77.39375,74.76955
"2016-03-21 09:00:00",114.42875,115.6674375
"2016-03-21 17:00:00",124.12875,145.2287625
"2016-03-22 01:00:00",80.87375,88.3017375
"2016-03-22 09:00:00",115.4425,132.398525
"2016-03-22 17:00:00",127.515,151.4148
"2016-03-23 01:00:00",80.66875,88.7889125
"2016-03-23 09:00:00",114.7975,132.848775
"2016-03-23 17:00:00",124.69125,148.4147
"2016-03-24 01:00:00",82.25375,88.60115
"2016-03-24 09:00:00",115.86375,132.450975
"2016-03-24 17:00:00",126.94375,153.0490125
"2016-03-25 01:00:00",79.24875,89.0636375
"2016-03-25 09:00:00",120.705,136.7154125
"2016-03-25 17:00:00",138.82875,160.2661625
"2016-03-26 01:00:00",74.83625,84.657525
"2016-03-26 09:00:00",72.15,80.1112375
"2016-03-26 17:00:00",66.59,82.4240875
"2016-03-27 01:00:00",65.52,70.355625
"2016-03-27 09:00:00",64.275,66.6642875
"2016-03-27 17:00:00",62.56,64.242
"2016-03-28 01:00:00",62.65375,65.3792875
"2016-03-28 09:00:00",115.75625,135.447575
"2016-03-28 17:00:00",126.63625,143.7751
"2016-03-29 01:00:00",79.57375,89.4167375
"2016-03-29 09:00:00",119.68875,136.64335
"2016-03-29 17:00:00",139.3225,161.1962125
"2016-03-30 01:00:00",80.28375,89.714925
"2016-03-30 09:00:00",121.315,136.120925
"2016-03-30 17:00:00",144.4875,164.2698375
"2016-03-31 01:00:00",78.86,88.60615
"2016-03-31 09:00:00",129.36875,139.58045
"2016-03-31 17:00:00",156.395,167.3714
"2016-04-01 01:00:00",84.49375,88.3561
"2016-04-01 09:00:00",119.02875,136.6659
"2016-04-01 17:00:00",135.795,158.9406625
"2016-04-02 01:00:00",73.9825,84.5500375
"2016-04-02 09:00:00",73.5225,80.42795
"2016-04-02 17:00:00",74.94375,93.6576625
"2016-04-03 01:00:00",74.08,84.9658625
"2016-04-03 09:00:00",73.52,69.6313125
"2016-04-03 17:00:00",77.19125,66.40565
"2016-04-04 01:00:00",76.12875,79.3397625
"2016-04-04 09:00:00",127.35,143.8912875
"2016-04-04 17:00:00",143.7275,165.0191875
"2016-04-05 01:00:00",78.7175,87.955675
"2016-04-05 09:00:00",115.28,132.460975
"2016-04-05 17:00:00",137.16875,158.9486625
"2016-04-06 01:00:00",80.67625,94.8912625
"2016-04-06 09:00:00",127.7175,136.5629
"2016-04-06 17:00:00",152.8775,168.6294875
